timestamp,model,model_id,served_model,language,item_id,type,subtype,difficulty,gold,sample_idx,parsed_answer,correct,confidence,parse_ok,latency_s,raw_response,logprobs,error
2026-07-05T20:17:53,local-gemma,google/gemma-4-e4b,google/gemma-4-e4b,zh,O01,常规,生活常识,易,True,0,,,,False,6.46,,,
2026-07-05T20:17:57,local-gemma,google/gemma-4-e4b,google/gemma-4-e4b,zh,O01,常规,生活常识,易,True,1,,,,False,4.64,,,
2026-07-05T20:18:02,local-gemma,google/gemma-4-e4b,google/gemma-4-e4b,zh,O01,常规,生活常识,易,True,2,,,,False,4.6,,,
2026-07-05T20:18:07,local-gemma,google/gemma-4-e4b,google/gemma-4-e4b,zh,O01,常规,生活常识,易,True,3,,,,False,4.57,,,
2026-07-05T20:18:11,local-gemma,google/gemma-4-e4b,google/gemma-4-e4b,zh,O01,常规,生活常识,易,True,4,,,,False,4.48,,,
2026-07-05T20:18:16,local-gemma,google/gemma-4-e4b,google/gemma-4-e4b,zh,O02,常规,生活常识,易,False,0,,,,False,5.03,,,
2026-07-05T20:18:21,local-gemma,google/gemma-4-e4b,google/gemma-4-e4b,zh,O02,常规,生活常识,易,False,1,,,,False,4.5,,,
2026-07-05T20:18:25,local-gemma,google/gemma-4-e4b,google/gemma-4-e4b,zh,O02,常规,生活常识,易,False,2,,,,False,4.5,,,
2026-07-05T20:18:30,local-gemma,google/gemma-4-e4b,google/gemma-4-e4b,zh,O02,常规,生活常识,易,False,3,,,,False,4.54,,,
2026-07-05T20:18:34,local-gemma,google/gemma-4-e4b,google/gemma-4-e4b,zh,O02,常规,生活常识,易,False,4,,,,False,4.49,,,
2026-07-05T20:18:39,local-gemma,google/gemma-4-e4b,google/gemma-4-e4b,zh,O03,常规,生活常识,易,False,0,,,,False,5.02,,,
2026-07-05T20:18:44,local-gemma,google/gemma-4-e4b,google/gemma-4-e4b,zh,O03,常规,生活常识,易,False,1,,,,False,4.47,,,
2026-07-05T20:18:48,local-gemma,google/gemma-4-e4b,google/gemma-4-e4b,zh,O03,常规,生活常识,易,False,2,,,,False,4.49,,,
2026-07-05T20:18:53,local-gemma,google/gemma-4-e4b,google/gemma-4-e4b,zh,O03,常规,生活常识,易,False,3,,,,False,4.49,,,
2026-07-05T20:18:57,local-gemma,google/gemma-4-e4b,google/gemma-4-e4b,zh,O03,常规,生活常识,易,False,4,,,,False,4.5,,,
2026-07-05T20:19:02,local-gemma,google/gemma-4-e4b,google/gemma-4-e4b,zh,O04,常规,生活常识,易,True,0,,,,False,5.05,,,
2026-07-05T20:19:07,local-gemma,google/gemma-4-e4b,google/gemma-4-e4b,zh,O04,常规,生活常识,易,True,1,,,,False,4.5,,,
2026-07-05T20:19:11,local-gemma,google/gemma-4-e4b,google/gemma-4-e4b,zh,O04,常规,生活常识,易,True,2,,,,False,4.49,,,
2026-07-05T20:19:16,local-gemma,google/gemma-4-e4b,google/gemma-4-e4b,zh,O04,常规,生活常识,易,True,3,,,,False,4.5,,,
2026-07-05T20:19:20,local-gemma,google/gemma-4-e4b,google/gemma-4-e4b,zh,O04,常规,生活常识,易,True,4,,,,False,4.49,,,
2026-07-05T20:19:25,local-gemma,google/gemma-4-e4b,google/gemma-4-e4b,zh,O05,常规,百科,易,True,0,,,,False,5.05,,,
2026-07-05T20:19:30,local-gemma,google/gemma-4-e4b,google/gemma-4-e4b,zh,O05,常规,百科,易,True,1,,,,False,4.53,,,
2026-07-05T20:19:34,local-gemma,google/gemma-4-e4b,google/gemma-4-e4b,zh,O05,常规,百科,易,True,2,,,,False,4.49,,,
2026-07-05T20:19:39,local-gemma,google/gemma-4-e4b,google/gemma-4-e4b,zh,O05,常规,百科,易,True,3,,,,False,4.49,,,
2026-07-05T20:19:43,local-gemma,google/gemma-4-e4b,google/gemma-4-e4b,zh,O05,常规,百科,易,True,4,,,,False,4.49,,,
2026-07-05T20:19:48,local-gemma,google/gemma-4-e4b,google/gemma-4-e4b,en,O01,常规,生活常识,易,True,0,,,,False,5.17,,,
2026-07-05T20:19:53,local-gemma,google/gemma-4-e4b,google/gemma-4-e4b,en,O01,常规,生活常识,易,True,1,,,,False,4.49,,,
2026-07-05T20:19:53,local-gemma,google/gemma-4-e4b,google/gemma-4-e4b,en,O01,常规,生活常识,易,True,2,True,True,5,True,0.68,"{""answer"": ""True"", ""confidence"": 5}",,
2026-07-05T20:19:54,local-gemma,google/gemma-4-e4b,google/gemma-4-e4b,en,O01,常规,生活常识,易,True,3,True,True,5,True,0.67,"{""answer"": ""True"", ""confidence"": 5}",,
2026-07-05T20:19:59,local-gemma,google/gemma-4-e4b,google/gemma-4-e4b,en,O01,常规,生活常识,易,True,4,,,,False,4.49,,,
2026-07-05T20:20:04,local-gemma,google/gemma-4-e4b,google/gemma-4-e4b,en,O02,常规,生活常识,易,False,0,,,,False,4.9,,,
2026-07-05T20:20:04,local-gemma,google/gemma-4-e4b,google/gemma-4-e4b,en,O02,常规,生活常识,易,False,1,False,True,5,True,0.69,"{""answer"": ""False"", ""confidence"": 5}",,
2026-07-05T20:20:09,local-gemma,google/gemma-4-e4b,google/gemma-4-e4b,en,O02,常规,生活常识,易,False,2,,,,False,4.6,,,
2026-07-05T20:20:13,local-gemma,google/gemma-4-e4b,google/gemma-4-e4b,en,O02,常规,生活常识,易,False,3,,,,False,4.56,,,
2026-07-05T20:20:18,local-gemma,google/gemma-4-e4b,google/gemma-4-e4b,en,O02,常规,生活常识,易,False,4,,,,False,4.5,,,
2026-07-05T20:20:23,local-gemma,google/gemma-4-e4b,google/gemma-4-e4b,en,O03,常规,生活常识,易,False,0,,,,False,5.03,,,
2026-07-05T20:20:28,local-gemma,google/gemma-4-e4b,google/gemma-4-e4b,en,O03,常规,生活常识,易,False,1,,,,False,4.59,,,
2026-07-05T20:20:32,local-gemma,google/gemma-4-e4b,google/gemma-4-e4b,en,O03,常规,生活常识,易,False,2,,,,False,4.52,,,
2026-07-05T20:20:37,local-gemma,google/gemma-4-e4b,google/gemma-4-e4b,en,O03,常规,生活常识,易,False,3,,,,False,4.53,,,
2026-07-05T20:20:41,local-gemma,google/gemma-4-e4b,google/gemma-4-e4b,en,O03,常规,生活常识,易,False,4,,,,False,4.49,,,
2026-07-05T20:20:46,local-gemma,google/gemma-4-e4b,google/gemma-4-e4b,en,O04,常规,生活常识,易,True,0,,,,False,4.9,,,
2026-07-05T20:20:50,local-gemma,google/gemma-4-e4b,google/gemma-4-e4b,en,O04,常规,生活常识,易,True,1,,,,False,4.5,,,
2026-07-05T20:20:55,local-gemma,google/gemma-4-e4b,google/gemma-4-e4b,en,O04,常规,生活常识,易,True,2,,,,False,4.51,,,
2026-07-05T20:20:59,local-gemma,google/gemma-4-e4b,google/gemma-4-e4b,en,O04,常规,生活常识,易,True,3,True,True,,False,4.52,"{""answer"": ""True"", ""confidence"":",,
2026-07-05T20:21:04,local-gemma,google/gemma-4-e4b,google/gemma-4-e4b,en,O04,常规,生活常识,易,True,4,,,,False,4.51,,,
2026-07-05T20:21:05,local-gemma,google/gemma-4-e4b,google/gemma-4-e4b,en,O05,常规,百科,易,True,0,True,True,5,True,1.14,"{""answer"": ""True"", ""confidence"": 5}",,
2026-07-05T20:21:10,local-gemma,google/gemma-4-e4b,google/gemma-4-e4b,en,O05,常规,百科,易,True,1,,,,False,4.52,,,
2026-07-05T20:21:10,local-gemma,google/gemma-4-e4b,google/gemma-4-e4b,en,O05,常规,百科,易,True,2,True,True,5,True,0.68,"{""answer"": ""True"", ""confidence"": 5}",,
2026-07-05T20:21:15,local-gemma,google/gemma-4-e4b,google/gemma-4-e4b,en,O05,常规,百科,易,True,3,,,,False,4.63,,,
2026-07-05T20:21:20,local-gemma,google/gemma-4-e4b,google/gemma-4-e4b,en,O05,常规,百科,易,True,4,,,,False,4.92,,,
